                      |                 "all"|             "sprint1"
       "binary_tree"-1|                -150.0|                     0
       "binary_tree"-2|                -619.4|                     0
       "binary_tree"-3|               -4963.5|                     0
       "binary_tree"-4|              -76618.8|                     0
       "binary_tree"-5|            -9711377.4|                     0
       "binary_tree"-6|                -362.4|                     0
       "binary_tree"-7|                6459.1|                     0
         "bitcount1"-1|                     0|                     0
         "bitcount1"-2|                     0|                     0
         "bitcount1"-3|                     0|                     0
         "bitcount1"-4|                     0|                     0
         "bitcount1"-5|                     0|                     0
         "bitcount1"-6|                     0|                     0
         "bitcount1"-7|                     0|                     0
         "bitcount2"-1|                     0|                     0
         "bitcount2"-2|                     0|                     0
         "bitcount2"-3|                     0|                     0
         "bitcount2"-4|                     0|                     0
         "bitcount2"-5|                     0|                     0
         "bitcount2"-6|                     0|                     0
         "bitcount2"-7|                     0|                     0
         "bitcount3"-1|                     0|                     0
         "bitcount3"-2|                     0|                     0
         "bitcount3"-3|                     0|                     0
         "bitcount3"-4|                     0|                     0
         "bitcount3"-5|                     0|                     0
         "bitcount3"-6|                     0|                     0
         "bitcount3"-7|                     0|                     0
         "bitcount4"-1|                 224.0|                     0
         "bitcount4"-2|                 223.8|                     0
         "bitcount4"-3|                 223.9|                     0
         "bitcount4"-4|                 224.0|                     0
         "bitcount4"-5|                 224.0|                     0
         "bitcount4"-6|                 224.0|                     0
         "bitcount4"-7|                 224.0|                     0
         "bitcount5"-1|                     0|                     0
         "bitcount5"-2|                     0|                     0
         "bitcount5"-3|                     0|                     0
         "bitcount5"-4|                     0|                     0
         "bitcount5"-5|                     0|                     0
         "bitcount5"-6|                     0|                     0
         "bitcount5"-7|                     0|                     0
       "bubble_sort"-1|                 343.9|                     0
       "bubble_sort"-2|               33993.9|                     0
       "bubble_sort"-3|          3452697.9002|                     0
       "bubble_sort"-4|                    -1|                     0
       "bubble_sort"-5|               34304.9|                     0
       "bubble_sort"-6|              313758.9|                     0
       "bubble_sort"-7|        345099868.8533|                     0
           "collatz"-1|                   1.2|                     0
           "collatz"-2|                   1.2|                     0
           "collatz"-3|                   1.2|                     0
           "collatz"-4|                   1.2|                     0
           "collatz"-5|                   1.2|                     0
           "collatz"-6|                   1.2|                     0
           "collatz"-7|                   1.2|                     0
               "gcd"-1|                     0|                     0
               "gcd"-2|                     0|                     0
               "gcd"-3|                     0|                     0
               "gcd"-4|                     0|                     0
               "gcd"-5|                     0|                     0
               "gcd"-6|                     0|                     0
               "gcd"-7|                     0|                     0
      "jenkins_hash"-1|                    -1|                     0
      "jenkins_hash"-2|                  22.8|                     0
      "jenkins_hash"-3|                 228.1|                     0
      "jenkins_hash"-4|                 573.7|                     0
      "jenkins_hash"-5|                2292.1|                     0
      "jenkins_hash"-6|                6874.6|                     0
      "jenkins_hash"-7|               22913.3|                     0
      "jenkins_hash"-8|               68738.3|                     0
           "matmul1"-1|                 -10.7|                     0
           "matmul1"-2|                 488.4|                     0
           "matmul1"-3|               23584.4|                     0
           "matmul1"-4|          1343698.3998|                     0
           "matmul1"-5|          3060340.4013|                     0
           "matmul1"-6|          8160726.3938|                     0
           "matmul1"-7|         27361126.4991|                     0
           "matmul1"-8|          3060340.4013|                     0
           "matmul2"-1|                  -8.9|                     0
           "matmul2"-2|                 715.6|                     0
           "matmul2"-3|               39072.4|                     0
           "matmul2"-4|          1317893.6001|                     0
           "matmul2"-5|          2961340.3977|                     0
           "matmul2"-6|          7364726.4683|                     0
           "matmul2"-7|         24670124.8375|                     0
           "matmul2"-8|          2961340.3977|                     0
           "matmul3"-1|                    -1|                     0
           "matmul3"-2|                 796.7|                     0
           "matmul3"-3|               27178.5|                     0
           "matmul3"-4|          1883907.7001|                     0
           "matmul3"-5|          7166335.5987|                     0
           "matmul3"-6|         57226603.9866|                     0
           "matmul3"-7|        194331887.8547|                     0
           "matmul3"-8|          7166335.5987|                     0
           "matmul4"-1|                    -1|                     0
